Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.940000,-45.725000,-90.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.399000,-43.434000,180.000000,top
"C3","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.673000,-39.436000,0.000000,top
"C4","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.673000,-41.468000,180.000000,top
"C5","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.684000,-28.194000,0.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.399000,-32.512000,180.000000,top
"C7","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.684000,-30.414000,180.000000,top
"C8","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.684000,-49.530000,0.000000,top
"C9","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.399000,-53.594000,180.000000,top
"C10","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.684000,-51.562000,180.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.734000,-43.693000,-90.000000,top
"D1","D","D_SOD-123F",144.018000,-37.338000,0.000000,top
"D2","D","D_SOD-123F",144.018000,-26.162000,0.000000,top
"D3","D","D_SOD-123F",144.018000,-47.498000,0.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",129.930000,-45.085000,180.000000,top
"J1","Footswitch_conn_01x02","PinHeader_1x02_P2.54mm_Vertical",151.130000,-51.816000,90.000000,top
"J3","Power_Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",152.400000,-30.480000,180.000000,top
"J4","LED","PinHeader_1x02_P2.54mm_Vertical",130.048000,-49.525000,0.000000,top
"J5","Signal1_Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",132.080000,-28.194000,0.000000,top
"J6","Signal2_Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",132.080000,-36.830000,0.000000,top
"Q1","MMBFJ177LT1G","SOT-23-3",144.272000,-40.386000,0.000000,top
"Q2","MMBFJ177LT1G","SOT-23-3",144.277500,-29.398000,0.000000,top
"Q3","MMBFJ177LT1G","SOT-23-3",144.272000,-50.546000,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.734000,-39.883000,-90.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.860000,-45.725000,90.000000,top
"R3","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.654000,-45.725000,90.000000,top
"R4","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.673000,-37.404000,0.000000,top
"R5","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.673000,-43.500000,0.000000,top
"R6","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.673500,-47.432000,0.000000,top
"R7","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.684000,-32.512000,0.000000,top
"R8","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.684000,-26.162000,0.000000,top
"R9","330K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.673500,-53.594000,0.000000,top
"R10","4K7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.930000,-43.053000,180.000000,top
"U1","NE555DR","SOIC-8_3.9x4.9mm_P1.27mm",152.146000,-38.359000,90.000000,top
